City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Heihe,CN,50.2441,127.4902,81.18,77,80,4.38,broken clouds
228,Rocha,UY,-34.4833,-54.3333,45.54,88,41,3.87,scattered clouds
229,South Lake Tahoe,US,38.9332,-119.9844,90.73,21,1,13.8,clear sky
230,Prince Rupert,CA,54.3161,-130.3201,56.89,88,100,3.44,light rain
231,Port Elizabeth,ZA,-33.918,25.5701,44.89,81,75,20.71,light intensity shower rain
232,Tongren,CN,27.7172,109.1853,76.55,94,59,2.33,broken clouds
233,Trybukhivtsi,UA,49.0436,25.4581,56.57,91,71,10.83,broken clouds
234,Sola,VU,-13.8833,167.55,81.27,94,75,0.0,broken clouds
235,Fortuna,US,40.5982,-124.1573,81.19,65,5,5.99,clear sky
236,Codrington,AU,-38.2667,141.9667,43.5,86,100,11.21,overcast clouds
237,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,78,29,7.11,scattered clouds
238,Yulara,AU,-25.2406,130.9889,61.75,41,0,11.68,clear sky
239,Zamania,IN,25.4333,83.5667,84.04,78,100,5.12,overcast clouds
240,Guiberoua,CI,6.2392,-6.1727,71.6,91,95,3.24,overcast clouds
241,Badnawar,IN,23.0167,75.2167,76.91,86,100,17.4,overcast clouds
242,Helong,CN,42.5397,128.9972,78.46,71,96,2.37,light rain
243,Mollendo,PE,-17.0231,-72.0147,61.54,84,4,5.14,clear sky
244,Bijar,IR,35.8668,47.6051,73.9,27,0,6.76,clear sky
245,Collie,AU,-33.3667,116.15,43.99,96,28,1.01,scattered clouds
246,Penzance,GB,50.1186,-5.5371,72.61,67,99,8.48,overcast clouds
247,Bay Saint Louis,US,30.3088,-89.33,90.01,66,40,6.91,scattered clouds
248,Tautira,PF,-17.7333,-149.15,84.22,76,46,14.07,scattered clouds
249,Acajutla,SV,13.5928,-89.8275,98.94,69,22,6.38,few clouds
250,Kaduqli,SD,11.0167,29.7167,73.15,90,100,2.55,overcast clouds
251,Kabalo,CD,-6.05,26.9167,76.24,36,0,4.18,clear sky
252,Ayan,RU,56.45,138.1667,63.84,86,99,1.32,overcast clouds
253,Angoche,MZ,-16.2325,39.9086,72.45,87,0,2.8,clear sky
254,Tanggu,CN,39.0211,117.6469,80.56,91,100,5.86,light rain
255,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.52,87,99,13.15,overcast clouds
256,Aykhal,RU,66.0,111.5,61.18,80,40,10.67,scattered clouds
257,Vestmannaeyjar,IS,63.4427,-20.2734,53.64,91,99,3.87,overcast clouds
258,Lorengau,PG,-2.0226,147.2712,83.17,74,71,3.62,broken clouds
259,Camacha,PT,33.0833,-16.3333,68.54,83,40,9.22,scattered clouds
260,Verkhnevilyuysk,RU,63.4453,120.3167,66.22,76,81,5.35,broken clouds
261,Tazovskiy,RU,67.4667,78.7,57.96,93,100,18.07,light rain
262,Saint-Augustin,CA,51.226,-58.6502,60.6,57,80,7.45,broken clouds
263,Karratha,AU,-20.7377,116.8463,70.16,65,7,8.9,clear sky
264,Indramayu,ID,-6.3264,108.32,76.86,87,90,5.66,light rain
265,Saint Anthony,US,45.0205,-93.218,84.52,66,20,4.0,haze
266,Verkhoyansk,RU,67.5447,133.385,61.95,53,96,6.69,overcast clouds
267,Horsham,GB,51.064,-0.3272,72.07,74,0,3.44,clear sky
268,Geraldton,AU,-28.7667,114.6,55.81,94,90,4.61,overcast clouds
269,Port Augusta,AU,-32.5,137.7667,46.54,78,100,23.35,overcast clouds
270,Amapa,BR,1.0,-52.0,72.5,98,62,2.84,broken clouds
271,Marapanim,BR,-0.7175,-47.6997,75.34,94,30,5.19,scattered clouds
272,Baghdad,IQ,33.3406,44.4009,91.31,27,0,5.75,mist
273,Peace River,CA,56.2501,-117.286,66.51,88,90,2.3,smoke
274,Kysyl-Syr,RU,63.8986,122.7617,67.66,63,73,3.02,broken clouds
275,Kizukuri,JP,40.8061,140.3861,80.11,73,88,5.12,light rain
276,Noshiro,JP,40.2039,140.0242,81.54,74,80,3.78,broken clouds
277,Huzhou,CN,30.8703,120.0933,79.41,82,16,6.31,few clouds
278,Ponta Do Sol,PT,32.6667,-17.1,72.01,82,0,4.88,clear sky
279,Kijang,KR,35.2442,129.2139,83.93,87,100,10.87,overcast clouds
280,Buraydah,SA,26.326,43.975,93.65,16,48,11.45,scattered clouds
281,Khani,GE,41.9563,42.9566,71.17,97,97,1.01,overcast clouds
282,Katsuura,JP,35.1333,140.3,84.31,75,1,4.81,clear sky
283,Kirovskiy,RU,45.0917,133.5136,78.96,79,56,4.34,broken clouds
284,New Norfolk,AU,-42.7826,147.0587,52.88,79,94,1.01,overcast clouds
285,Bacolod,PH,10.6667,122.95,79.84,83,100,16.13,overcast clouds
286,Kaitangata,NZ,-46.2817,169.8464,49.93,75,86,8.03,overcast clouds
287,Warmbad,NA,-28.45,18.7333,41.59,57,0,6.85,clear sky
288,Pochutla,MX,15.7432,-96.4661,91.81,61,53,5.28,broken clouds
289,Bogale,MM,16.2833,95.4,78.55,88,100,13.69,overcast clouds
290,Calvinia,ZA,-31.4707,19.776,36.5,81,96,15.64,overcast clouds
291,Kano,NG,12.0001,8.5167,80.49,69,0,6.91,light rain
292,Clinton,US,42.587,-82.9199,76.95,54,40,1.99,scattered clouds
293,Simbahan,PH,6.3032,120.5836,83.52,75,97,14.76,overcast clouds
294,Sisimiut,GL,66.9395,-53.6735,44.94,77,56,6.06,broken clouds
295,Irbil,IQ,36.1926,44.0106,85.82,21,0,3.44,clear sky
296,Phan Thiet,VN,10.9333,108.1,76.6,89,100,8.68,overcast clouds
297,Quelimane,MZ,-17.8786,36.8883,71.55,94,75,3.44,broken clouds
298,Namatanai,PG,-3.6667,152.4333,82.04,76,64,4.09,broken clouds
299,Deputatskiy,RU,69.3,139.9,52.56,71,94,5.59,overcast clouds
300,Walvis Bay,NA,-22.9575,14.5053,49.15,81,0,8.05,clear sky
