City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
465,Bilibino,RU,48.87,broken clouds,68.0546,166.4372,Gostinitsa Severyanka
466,La Ronge,CA,62.82,smoke,55.1001,-105.2842,Northland Motor Hotel
467,Palana,RU,50.65,overcast clouds,59.1167,159.9667,
470,Lima,PE,61.05,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
472,Koslan,RU,61.38,broken clouds,63.4564,48.8989,
474,Huarmey,PE,66.47,few clouds,-10.0681,-78.1522,Hotel Miramar
477,Vrangel,RU,74.21,clear sky,42.7297,133.0839,"Отель ""БАЛИ"""
480,Snasa,NO,58.15,overcast clouds,64.2457,12.3778,Snåsa Hotell AS
483,Chimore,BO,73.99,overcast clouds,-16.9833,-65.1333,Bichito
488,Pombas,CV,73.72,scattered clouds,17.1503,-25.0201,Paul Paradis
489,Saeby,DK,73.96,clear sky,57.3319,10.5225,Hotel Viking Aqua Spa & Wellness Resort
494,Saryg-Sep,RU,70.47,clear sky,51.5,95.6,
496,Wolbrom,PL,73.69,overcast clouds,50.3796,19.7583,Zajazd FINEZJA
500,Norman Wells,CA,66.2,overcast clouds,65.282,-126.8329,Heritage Hotel
505,Barguzin,RU,61.63,overcast clouds,53.6167,109.6167,"Gostevoy Dom S.barguzin ""Vizit"""
507,Siyabuswa,ZA,70.88,clear sky,-25.1132,29.0445,Uluju properties
508,Zakamensk,RU,55.13,broken clouds,50.3741,103.2863,Gostinitsa Zakamna
509,Saint-Paul,RE,73.49,few clouds,-21.0096,55.2707,Boucan Canot
510,Ponta Delgada,PT,72.32,broken clouds,37.7333,-25.6667,Vila Nova Hotel
511,Greenlaw,GB,73.13,overcast clouds,55.7068,-2.4624,Castletoun Cottages
515,Half Moon Bay,US,60.64,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
522,Abha,SA,64.58,broken clouds,18.2164,42.5053,Abha Hotel
523,Sangar,RU,58.39,few clouds,63.9242,127.4739,
524,Pangnirtung,CA,39.56,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
531,Uni,RU,70.9,overcast clouds,57.7535,51.4923,Гостиница «Диалог»
533,Antofagasta,CL,64.22,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
535,Ulaangom,MN,70.68,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
537,Port Hedland,AU,71.65,few clouds,-20.3167,118.5667,The Esplanade Hotel
540,Hella,NO,52.75,mist,67.2,14.4333,Kobbosen
541,Sambava,MG,73.81,light rain,-14.2667,50.1667,Melrose
542,Baker City,US,64.65,clear sky,44.7749,-117.8344,Bridge Street Inn
544,Mnogovershinnyy,RU,67.75,light rain,53.9353,139.9242,Kvartsevaya Sopka
545,Escanaba,US,68.97,broken clouds,45.7453,-87.0646,Sunset Lodge
547,Mandalgovi,MN,66.36,overcast clouds,45.7625,106.2708,В.Ганбат
548,Pincher Creek,CA,57.65,mist,49.4833,-113.952,BLUE MOUNTAIN MOTEL
550,Ayan,RU,58.39,clear sky,56.45,138.1667,Gostinitsa
551,Morro Bay,US,66.15,clear sky,35.3658,-120.8499,Inn at Morro Bay
552,Churapcha,RU,62.94,overcast clouds,62.0025,132.4325,
553,Port Lincoln,AU,50.07,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
557,Sivaki,RU,73.06,overcast clouds,52.6333,126.75,
558,Guerrero Negro,MX,69.48,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
559,Port Hardy,CA,51.6,broken clouds,50.6996,-127.4199,Airport Inn
562,Inta,RU,68.05,scattered clouds,66.0317,60.1659,Apartments in Inta city
566,Talaya,RU,62.89,light rain,61.3833,152.75,
568,Port Keats,AU,70.11,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
572,Sistranda,NO,57.16,clear sky,63.7256,8.834,Hotell Frøya
573,Valleyview,CA,55.31,clear sky,55.0667,-117.2859,Paradise Inn & Suites
576,Luancheng,CN,72.45,overcast clouds,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
577,Pozo Colorado,PY,70.18,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
579,Boguchany,RU,64.51,overcast clouds,58.3814,97.4531,Uyut
582,Leshukonskoye,RU,52.27,light rain,64.8989,45.7622,Pryalitsa Hostel
583,Zhaotong,CN,63.43,light rain,27.3167,103.7167,Jingguan Home
584,Yima,CN,71.2,overcast clouds,34.7381,111.8839,Yima Hotel
585,Wakkanai,JP,63.79,broken clouds,45.4094,141.6739,Hyōsetsu-sō
591,Belmonte,BR,73.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
593,Namibe,AO,72.5,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
595,Ingham,US,67.17,overcast clouds,42.6,-84.3833,Sunset Place
598,Ust-Nera,RU,62.17,overcast clouds,64.5667,143.2,Hotel Ust-Nera
