City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Krasnyy Chikoy,RU,60.8,moderate rain,50.3643,108.7512,Persona
456,Orizona,BR,73.06,broken clouds,-17.0314,-48.2958,Hotel Carvalhos
457,Rincon,US,87.85,broken clouds,32.296,-81.2354,Days Inn Rincon
458,Miri,MY,75.34,light rain,4.4148,114.0089,"Mega Hotel, Miri"
459,Zhuhai,CN,83.05,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
460,Kumburgaz,TR,76.57,clear sky,41.0211,28.4772,Blue World Hotel
461,Vila Do Maio,CV,79.59,broken clouds,15.1333,-23.2167,Hotel Marilu
462,College,US,77.0,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
464,Marquette,US,72.77,broken clouds,46.5333,-87.6335,Al Quaal Lodge
465,Beziers,FR,76.32,clear sky,43.3476,3.219,Hôtel Terminus
